ANO;Ne;Ano;Ano;Ano;Ne;Ano;Ano;Ne;Ne;Nevíme;Ano;Ano;Ano;Ano;Ano;Ano;Ne;Ano;Ne;Ano;Ano;Ano;Ano;Ne;Ano;Ne;Ne;Ne;Ne;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ne;Ne;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ne;Ano;Ano;Ano
KSCM;Nevíme;Ano;Ano;Ano;Ne;Nevíme;Ano;Ano;Ano;Nevíme;Ano;Nevíme;Ano;Nevíme;Ano;Ano;Ano;Ano;Ano;Nevíme;Ne;Ne;Ano;Ne;Ano;Nevíme;Ano;Nevíme;Ano;Ano;Ano;Ano;Nevíme;Ano;Ano;Ano;Ano;Ne;Ne;Ne;Ano;Ano;Ano;Nevíme;Ano;Ano;Ano;Ne;Nevíme;Ano;Ne;Nevíme;Nevíme;Nevíme;Ano;Ano;Nevíme;Ne;Ano;Ano;Ano
DSSS;Ne;Ano;Ne;Ano;Ne;Nevíme;Ne;Ano;Ano;Ano;Ne;Ne;Ano;Ne;Ne;Nevíme;Ano;Ano;Nevíme;Ne;Ano;Ne;Ano;Nevíme;Ano;Ne;Ano;Ne;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ano;Ano;Ne;Ano;Ne;Ano;Ano;Ano;Ne;Ano;Ne;Ano;Ne;Ne;Ano;Ne;Ano;Ano;Ano;Ano;Nevíme;Ne;Ano;Ne;Ano;Ano
LEV21;Ano;Ano;Nevíme;Ano;Ne;Nevíme;Ano;Ne;Nevíme;Ano;Ano;Ne;Ano;Nevíme;Nevíme;Ano;Ano;Ano;Nevíme;Ano;Nevíme;Ano;Ano;Nevíme;Ano;Nevíme;Ano;Nevíme;Ne;Nevíme;Ano;Ano;Nevíme;Nevíme;Nevíme;Ano;Ne;Ne;Ano;Ne;Ano;Ano;Nevíme;Ano;Ano;Ano;Nevíme;Ne;Nevíme;Ano;Ne;Ano;Ne;Nevíme;Ne;Nevíme;Ne;Ano;Ano;Nevíme;Nevíme
SSO;Ano;Ano;Ano;Ne;Ano;Nevíme;Ne;Ne;Ne;Ne;Ne;Ne;Nevíme;Ne;Ano;Ano;Ano;Ne;Ne;Nevíme;Ne;Ano;Ano;Ne;Ne;Ne;Ne;Ano;Ne;Ano;Ne;Ne;Ne;Ne;Ne;Ne;Ano;Ne;Ano;Ne;Ne;Ne;Ne;Ne;Nevíme;Nevíme;Ne;Ne;Ne;Ano;Ne;Nevíme;Ne;Ne;Ne;Ne;Ne;Ano;Ano;Nevíme;Ne
HLAVU_VZHURU;Ne;Ano;Ne;Nevíme ;Ano;Ne;Ne;Ano;Ne;Ano;Nevíme;Ne;Ano;Ne;Ano;Nevíme;Nevíme;Ne;Ne;Ne;Ne;Ano;Ne;Nevíme;Nevíme;Ne;Nevíme;Ne;Ne;Nevíme;Ne;Nevíme;Nevíme;Ne;Ano;Nevíme;Ano;Ano;Ne;Ne;Ne;Ano;Ne;Ne;Nevíme;Ne;Nevíme;Ano;Ne;Ano;Ne;Nevíme;Ne;Ne;Ano;Ne;Ano;Ne;Nevíme;Ano;Ano
KDU-CSL;Ano;Ano;Ano;Ano;Ne;Ne;Ano;Ano;Ne;Ne;Ano;Ano;Ano;Nevíme;Ano;Ano;Ne;Ne;Ne;Ne;Nevíme;Ano;Ne;Ne;Ano;Ne;Ano;Ne;Ne;Ano;Ano;Ano;Ne;Ne;Ano;Ano;Ano;Ano;Nevíme;Ano;Ano;Nevíme;Ne;Ne;Ano;Ano;Nevíme;Ano;Ne;Ano;Ne;Ano;Ano;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ano
KAN;Ano;Ano;Ne;Ne;Nevíme;Nevíme;Nevíme;Ano;Ne;Ano;Ano;Ano;Ne;Ano;Ano;Nevíme;Ne;Nevíme;Ne;Ne;Nevíme;Ano;Nevíme;Ne;Ano;Ne;Ne;Nevíme;Ne;Ano;Ano;Ano;Ano;Ne;Ano;Nevíme;Ano;Ano;Ne;Ano;Ano;Ano;Nevíme;Ne;Nevíme;Ano;Nevíme;Ano;Ne;Ano;Ano;Ano;Nevíme;Ne;Ano;Ano;Ne;Nevíme;Ano;Ano;Ano
Obcane_2011;Ano;Ano;Ne;Ano;Ne;Ne;Ne;Ano;Ne;Ne;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ne;Ano;Ne;Ano;Ne;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ne;Ne;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ano;Ne;Ano;Ne;Ano;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ano
TOP_09;Ano;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ne;Ano;Ano;Ano;Ne;Nevíme;Ano;Ano;Ne;Ne;Ne;Ne;Ano;Ano;Ne;Ne;Ano;Ne;Ne;Ne;Ne;Ano;Ne;Ano;Ano;Ne;Ne;Ano;Ano;Ne;Ano;Ano;Ano;Ano;Ne;Ne;Ano;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ne;Ano;Ano;Ano;Ne;Ne;Ano;Ano;Ano
